comuna,comuna_1,number,rc_usd,night,collapsed,fatalities,losses,str_lr,col_lr,occ_lr,hom_lr,inj_lr
6,,23223.0,1481322447,145955.0,0.9056533387,0.631342440388,1872031,0.126375634742997,0.003899811991129,0.432559652213353,0.0,0.0
4,,11222.0,2781717665,52446.0,0.75417037347,0.372186420614,4120837,0.148140028483998,0.006720463139102,0.709656447801548,0.0,0.0
5,,14702.0,1938502800,108834.0,0.712024673302,0.554553357429,2549080,0.131497382249498,0.004843046342688,0.509540545628204,0.0,0.0
7,,12945.0,1437644456,68039.0,0.41881070021,0.2128864479576,1638675,0.113983357295919,0.003235308614986,0.312888854859125,0.0,0.0
8,,18260.0,2661259503,94730.0,1.010402119817,0.569578416926,3848729,0.144620593711565,0.005533417961758,0.601265087011506,0.0,0.0
9,,11397.0,1525212474,35186.0,1.08571172375,0.347294534972,3360844,0.220352500258539,0.009526293969904,0.987024768294208,0.0,0.0
21,,22875.0,778100948,125655.0,0.64112902309,0.3289837001157,851562,0.109441051121193,0.002802749827716,0.261815049234571,0.0,0.0
13,,24971.0,1544601519,137416.0,0.67767796282,0.3530961309105,1639210,0.106125120460948,0.002713859928797,0.256954161750087,0.0,0.0
12,,10008.0,876211224,66262.0,0.42715942367,0.2909180032168,1119929,0.127814950089947,0.004268179692946,0.439041989702695,0.0,0.0
14,,26271.0,1183724308,147875.0,0.69797728103,0.3099405398567,1175987,0.099346339881653,0.002656835602109,0.209596307595402,0.0,0.0
11,,14355.0,1485929811,98826.0,0.758074201598,0.5580182595775,2089419,0.140613583265968,0.005280907012177,0.564647217915832,0.0,0.0
10,,15435.0,2104735955,98743.0,0.761791410379,0.500635043886,2993803,0.142241270321993,0.004935480468928,0.5070081361575,0.0,0.0
20,,8809.0,460253731,55925.0,0.534731195156,0.2726960223017,794659,0.172656624136057,0.006070282610467,0.487610232099598,0.0,0.0
16,,13943.0,1230954787,93741.0,0.494170537487,0.3421837980922,1416113,0.115041831008705,0.003544219590382,0.365031094283398,0.0,0.0
15,,27726.0,1187313488,121236.0,0.73063386397,0.2786597635242,1163725,0.09801330600288,0.002635193911743,0.229849024649609,0.0,0.0
17,,16680.0,7917764287,159909.0,0.484203949039,0.4053879821502,6216032,0.07850741989166,0.002902901373135,0.25351167360824,0.0,0.0
18,,14744.0,1762480248,108465.0,0.994509174223,0.5841161890826,2453507,0.139207602914016,0.006745178881057,0.538529653881529,0.0,0.0
22,,6109.0,3470137568,23621.0,0.395898923748,0.1303085825714,5126328,0.147726948953895,0.006480584772434,0.551664123328394,0.0,0.0
2,,19133.0,8582687257,109999.0,1.060465393526,0.4439439890203,10314563,0.120178715634075,0.005542598617708,0.403589113555851,0.0,0.0
1,,7847.0,673344396,57956.0,0.3026839245,0.2042701167467,581498,0.086359617545411,0.003857320307124,0.352457237812651,0.0,0.0
3,,9548.0,3765203981,31627.0,1.00742688792,0.323908940018,6382726,0.169518728384734,0.010551182320067,1.02415322356847,0.0,0.0
19,,18507.0,9611570190,102670.0,1.241341045986,0.604351388195,12449432,0.129525474494857,0.006707413659621,0.588634838019869,0.0,0.0
