NM_PARR,ID_PARR,number,rc_usd,night,fatalities,collapsed,losses,str_lr,col_lr,occ_lr
CHIMBACALLE,1.0,4300.0,780826265,41019.7,0.0,0.0,0,0.0,0.0,0.0
LA LIBERTAD,2.0,2825.0,385733696,27497.7,230.0,18.0,3255230,0.843906102197824,0.63716814159292,836.433592627747
COTOCOLLAO,3.0,3838.0,715905633,30843.4,30843.4,3838.0,715905644,100.00000160609135,100.0,100000.0
MARISCAL SUCRE,4.0,2643.0,1447796575,13631.5,3280.7,855.0,490618138,33.8872287949515,32.349602724177075,24067.050581374024
LA MAGDALENA,5.0,3647.0,781109400,28352.0,0.0,0.0,0,0.0,0.0,0.0
CENTRO HISTORICO,6.0,3784.0,1100694380,40822.7,2049.0,137.0,42295302,3.842601838679786,3.620507399577167,5019.266241576378
SAN BARTOLO,7.0,8414.0,1366485605,64087.0,713.0,91.0,15126805,1.106986033417874,1.08153078202995,1112.5501271708772
SOLANDA,8.0,9002.0,1277371113,78250.0,0.0,0.0,0,0.0,0.0,0.0
LA CONCEPCION,9.0,4548.0,1012286631,32058.4,22307.0,3081.0,638205947,63.04597208664807,67.74406332453826,69582.38714346317
COMITE DEL PUEBLO,10.0,5869.0,998326189,46141.9,0.0,0.0,0,0.0,0.0,0.0
SAN ISIDRO,11.0,4473.0,980491758,41692.8,0.0,0.0,0,0.0,0.0,0.0
JIPI JAPA,12.0,3757.0,1218171533,32794.0,0.0,0.0,0,0.0,0.0,0.0
LA FERROVIARIA,13.0,6641.0,1077104614,65349.9,0.0,0.0,0,0.0,0.0,0.0
PONCEANO,14.0,5960.0,1623701668,54338.6,22467.7,2592.0,517181928,31.85202912796007,43.48993288590604,41347.587166397374
KENNEDY,15.0,8635.0,1747759641,69186.8,318.0,63.0,5875344,0.336164330740714,0.729588882455125,459.6252464342909
LA  ARGELIA,16.0,7198.0,1000393637,57912.3,0.0,0.0,0,0.0,0.0,0.0
LLANO CHICO,17.0,1752.0,181756281,8115.9,0.0,0.0,0,0.0,0.0,0.0
ZAMBIZA,18.0,461.0,57919150,2954.7,0.0,0.0,0,0.0,0.0,0.0
CHILIBULO,19.0,5126.0,869344433,48791.3,9111.0,1020.0,162163718,18.65356370229069,19.898556379243075,18673.411038443326
LA MENA,20.0,6046.0,794620550,44212.7,775.0,151.0,14100580,1.774504837182893,2.497519020840225,1752.8900067175268
CARCELEN,21.0,7979.0,1203740583,55415.3,730.5,101.0,31451077,2.612778662749833,1.265822784810127,1318.2279984047727
PERUCHO,22.0,154.0,13287952,475.6,0.0,0.0,0,0.0,0.0,0.0
GUANGOPOLO,23.0,31.0,3793046,1978.7,0.0,0.0,0,0.0,0.0,0.0
RUMIPAMBA,24.0,3508.0,1517196293,28308.2,14523.7,1788.0,732625957,48.28814575456808,50.969213226909915,51305.6287577451
ITCHIMBIA,25.0,4025.0,994320733,33931.2,0.0,0.0,0,0.0,0.0,0.0
PUENGASI,26.0,8161.0,1139284656,63206.3,0.0,0.0,0,0.0,0.0,0.0
CHAVEZPAMBA,27.0,70.0,11024840,463.7,0.0,0.0,0,0.0,0.0,0.0
BELISARIO QUEVEDO,28.0,5368.0,1346079857,44574.1,28637.4,3871.0,1058933114,78.66792659812172,72.11251862891207,64246.72623788255
QUITUMBE,29.0,11352.0,1806225117,79966.9,0.0,0.0,0,0.0,0.0,0.0
IÑAQUITO,30.0,5297.0,3609643787,45074.9,14692.9,1748.0,1566664617,43.402194492221966,32.99981121389466,32596.633603180482
CHILLOGALLO,31.0,7751.0,931633339,56227.7,714.0,98.0,8512626,0.913731362283823,1.264352986711392,1269.836753059435
NAYON,32.0,3131.0,789397336,24531.5,0.0,0.0,0,0.0,0.0,0.0
TURUBAMBA,33.0,9624.0,1153835415,53379.1,0.0,0.0,0,0.0,0.0,0.0
GUAMANI,34.0,12487.0,1354320151,68353.0,0.0,0.0,0,0.0,0.0,0.0
SAN JUAN,35.0,5695.0,1261273325,54274.9,277.0,35.0,5905410,0.468210148044256,0.614574187884109,510.364827940724
POMASQUI,36.0,3927.0,796730654,31179.7,0.0,0.0,0,0.0,0.0,0.0
COCHAPAMBA,37.0,5201.0,968964540,57034.9,14307.6,1237.0,270262711,27.891909337749883,23.783887713901173,25085.693145775655
LA ECUATORIANA,38.0,10413.0,1097298856,61184.6,0.0,0.0,0,0.0,0.0,0.0
TABABELA,39.0,78.0,19805895,1410.3,0.0,0.0,0,0.0,0.0,0.0
CUMBAYA,40.0,5721.0,1805991449,32733.2,0.0,0.0,0,0.0,0.0,0.0
ALANGASI,41.0,3321.0,860076609,21216.8,0.0,0.0,0,0.0,0.0,0.0
LA MERCED,42.0,1541.0,235921217,7627.5,0.0,0.0,0,0.0,0.0,0.0
PUEMBO,43.0,609.0,189241634,9060.9,0.0,0.0,0,0.0,0.0,0.0
CONOCOTO,44.0,13693.0,3071911171,84022.1,0.0,0.0,0,0.0,0.0,0.0
EL CONDADO,45.0,13392.0,1573501467,82977.8,7328.7,998.0,251572107,15.988044024071876,7.45221027479092,8832.121362581316
GUAYLLABAMBA,46.0,1804.0,324104635,13715.4,0.0,0.0,0,0.0,0.0,0.0
AMAGUAÑA,47.0,3848.0,657517842,22380.0,0.0,0.0,0,0.0,0.0,0.0
TUMBACO,48.0,6974.0,1751057050,55731.1,0.0,0.0,0,0.0,0.0,0.0
YARUQUI,49.0,1188.0,202221566,9989.4,0.0,0.0,0,0.0,0.0,0.0
PUELLARO,50.0,413.0,53917846,2897.5,0.0,0.0,0,0.0,0.0,0.0
EL QUINCHE,51.0,740.0,131286902,12136.699999999999,0.0,0.0,0,0.0,0.0,0.0
CALDERON,52.0,22195.0,3591056480,150349.8,0.0,0.0,0,0.0,0.0,0.0
ATAHUALPA,53.0,264.0,31752846,1252.0,0.0,0.0,0,0.0,0.0,0.0
CHECA,54.0,455.0,105720419,6107.4,0.0,0.0,0,0.0,0.0,0.0
SAN ANTONIO,55.0,3447.0,793464061,31990.1,0.0,0.0,0,0.0,0.0,0.0
GUALEA,56.0,68.0,4000364,346.3,0.0,0.0,0,0.0,0.0,0.0
NANEGALITO,57.0,88.0,12448632,1397.6,0.0,0.0,0,0.0,0.0,0.0
CALACALI,58.0,109.0,41815855,3030.6,0.0,0.0,0,0.0,0.0,0.0
NONO,59.0,107.0,24711254,1351.1999999999998,321.6,38.0,2658459,10.758092022298772,35.51401869158878,23801.065719360573
NANEGAL,60.0,83.0,11161607,1121.6,0.0,0.0,0,0.0,0.0,0.0
PIFO,61.0,1353.0,335038369,16800.0,0.0,0.0,0,0.0,0.0,0.0
SAN JOSE DE MINAS,62.0,660.0,62757157,3554.4,0.0,0.0,0,0.0,0.0,0.0
PACTO,63.0,394.0,20479440,1629.1,0.0,0.0,0,0.0,0.0,0.0
PINTAG,64.0,1048.0,121792928,9809.3,0.0,0.0,0,0.0,0.0,0.0
LLOA,65.0,194.0,9146620,795.1,2.8,2.0,65710,0.718405277471304,1.030927835051546,352.15696138850456
