taxonomy,conversion,weight
MR+CBH/LWAL+CDM/HEX:2,MR_LWAL-DUM_H2,0.5
MR+CBH/LWAL+CDM/HEX:2,MR_LWAL-DUL_H2_CCA,0.5
MR+CBH/LWAL+CDL/HEX:2,MR_LWAL-DUL_H2_CCA,1
MR+CBH/LWAL+CDM/HEX:3,MR_LWAL-DUM_H3,0.5
MR+CBH/LWAL+CDM/HEX:3,MR_LWAL-DUM_H3,0.5
MR+CBH/LWAL+CDL/HEX:3,MR_LWAL-DUL_H3_CCA,1
UNK/UNK+CDM/HEX:2,MUR_LWAL-DNO_H2,0.25
UNK/UNK+CDM/HEX:2,MR_LWAL-DUM_H2,0.5
UNK/UNK+CDM/HEX:2,MR_LWAL-DUL_H2_CCA,0.25
UNK/UNK+CDM/HEX:1,MUR_LWAL-DNO_H1,0.25
UNK/UNK+CDM/HEX:1,MR_LWAL-DUM_H1,0.5
UNK/UNK+CDM/HEX:1,MR_LWAL-DUL_H1_CCA,0.25
UNK/UNK+CDL/HEX:2,MUR_LWAL-DNO_H2,1
UNK/UNK+CDL/HEX:1,MUR_LWAL-DNO_H1,1
MR+CBH/LWAL+CDL/HEX:1,MR_LWAL-DUL_H1_CCA,1
MR+CBH/LWAL+CDM/HEX:1,MR_LWAL-DUM_H1,0.5
MR+CBH/LWAL+CDM/HEX:1,MR_LWAL-DUL_H1_CCA,0.5
MUR+CBH/LWAL+CDN/HEX:2,MUR-CB99_LWAL-DNO_H2,1
MUR+CBH/LWAL+CDN/HEX:1,MUR-CB99_LWAL-DNO_H1,1
MR+CBH/LWAL+CDM/HEX:4,MR_LWAL-DUM_H4,1
MR+CBH/LWAL+CDH/HEX:3,MR_LWAL-DUH_H3,1
W+WLI/LWAL+CDL/HEX:2,W_LFM-DUL_H2,1
W+WLI/LWAL+CDL/HEX:1,W_LFM-DUL_H1,1
MUR+ADO/LWAL+CDN/HEX:3,MUR-ADO_LWAL-DNO_H3,1
W+WLI/LWAL+CDM/HEX:1,W_LFM-DUM_H1,1
W+WLI/LWAL+CDM/HEX:2,W_LFM-DUM_H2,1
MR+CBH/LWAL+CDH/HEX:4,MR_LWAL-DUH_H4,1
MUR+ADO/LWAL+CDN/HEX:4,MUR-ADO_LWAL-DNO_H3,1
MR+CBH/LWAL+CDL/HEX:4,MR_LWAL-DUL_H4_CCA,1
MUR+CBH/LWAL+CDN/HEX:3,MUR-CB99_LWAL-DNO_H3,1
MUR+ADO/LWAL+CDN/HEX:2,MUR-ADO_LWAL-DNO_H2,1
MR+CBH/LWAL+CDH/HEX:2,MR_LWAL-DUH_H2,1
W+WLI/LWAL+CDN/HEX:2,W_LFM-DUL_H2,1
W+WLI/LWAL+CDN/HEX:1,W_LFM-DUL_H1,1
MATO/UNK+CDN/HEX:1,MUR-ADO_LWAL-DNO_H1,1
MATO/UNK+CDN/HEX:2,MCF_LWAL-DUL_H2_CCA,1
"CR+CIP/LWAL+CDL/HBET:5,6",CR_LDUAL-DUL_H6,1
"CR+CIP/LWAL+CDM/HBET:5,6",CR_LDUAL-DUM_H6,1
MUR+ADO/LWAL+CDN/HEX:1,MUR-ADO_LWAL-DNO_H1,1
S/LFM+CDM/HEX:2,S_LFM-DUM_H2,1
S/LFM+CDH/HEX:2,S_LFM-DUH_H2,1
MUR+CBH/LWAL+CDN/HEX:4,MUR-CB99_LWAL-DNO_H4,1
S/LFM+CDM/HEX:3,S_LFM-DUM_H3,1
S/LFM+CDH/HEX:3,S_LFM-DUH_H3,1
W+WLI/LWAL+CDN/HEX:3,W_LFM-DUL_H3,1
"CR+CIP/LDUAL+CDH/HBET:10,20",CR_LDUAL-DUH_H12,1
"CR+CIP/LDUAL+CDM/HBET:7,9",CR_LDUAL-DUM_H7,1
"CR+CIP/LDUAL+CDH/HBET:7,9",CR_LDUAL-DUH_H7,1
"CR+CIP/LDUAL+CDM/HBET:10,20",CR_LDUAL-DUM_H12,1
W+WLI/LWAL+CDL/HEX:3,W_LFM-DUL_H3,1
CR+CIP/LWAL+CDM/HEX:2,MCF_LWAL-DUM_H2_CCA,1
CR+CIP/LWAL+CDM/HEX:1,MCF_LWAL-DUM_H1_CCA,1
CR+CIP/LDUAL+CDM/HEX:3,CR_LDUAL-DUM_H3,1
CR+CIP/LDUAL+CDH/HEX:4,CR_LDUAL-DUH_H4,1
CR+CIP/LDUAL+CDH/HEX:3,CR_LDUAL-DUH_H3,1
CR+CIP/LDUAL+CDM/HEX:4,CR_LDUAL-DUM_H4,1
CR+CIP/LWAL+CDH/HEX:1,CR_LWAL-DUH_H1,1
CR+CIP/LWAL+CDH/HEX:2,MCF_LWAL-DUM_H2_CCA,1
CR+CIP/LDUAL+CDL/HEX:1,CR_LFINF-DUL_H1,1
CR+CIP/LDUAL+CDL/HEX:2,MCF_LWAL-DUL_H2_CCA,1
CR+CIP/LDUAL+CDM/HEX:1,CR_LDUAL-DUM_H1,1
CR+CIP/LDUAL+CDM/HEX:2,CR_LDUAL-DUH_H1,1
S/LFM+CDM/HEX:1,S_LFM-DUM_H1,1
S/LFM+CDH/HEX:1,S_LFM-DUH_H1,1
CR+CIP/LWAL+CDL/HEX:1,CR_LWAL-DUL_H1,1
CR+CIP/LWAL+CDL/HEX:2,CR_LWAL-DUL_H2,1
W+WLI/LWAL+CDM/HEX:3,W_LFM-DUM_H3,1
CR+CIP/LWAL+CDM/HEX:3,CR_LWAL-DUM_H3,1
CR+CIP/LWAL+CDM/HEX:4,CR_LWAL-DUM_H4,1
CR+CIP/LWAL+CDH/HEX:4,CR_LWAL-DUH_H4,1
CR+CIP/LWAL+CDH/HEX:3,CR_LWAL-DUH_H3,1
CR+CIP/LDUAL+CDH/HEX:1,CR_LDUAL-DUH_H1,1
CR+CIP/LDUAL+CDH/HEX:2,CR_LDUAL-DUH_H2,1
MATO/UNK+CDN/HEX:3,MUR-CB99_LWAL-DNO_H3,1
"CR+CIP/LDUAL+CDL/HBET:10,20",CR_LWAL-DUL_H12,1
"CR+CIP/LWAL+CDL/HBET:10,20",CR_LWAL-DUL_H12,1
"CR+CIP/LDUAL+CDL/HBET:5,6",CR_LWAL-DUL_H6,1
"CR+CIP/LDUAL+CDH/HBET:5,6",CR_LWAL-DUH_H6,1
S/LFM+CDL/HEX:2,S_LFM-DUL_H2,1
S/LFM+CDL/HEX:3,S_LFM-DUL_H3,1
"S/LFM+CDH/HBET:5,6",S_LFM-DUH_H6,1
"CR+CIP/LWAL+CDH/HBET:10,20",CR_LWAL-DUH_H12,1
"S/LFM+CDM/HBET:5,6",S_LFM-DUM_H6,1
"CR+CIP/LFINF+CDH/HBET:10,20",CR_LDUAL-DUH_H12,1
"CR+CIP/LWAL+CDM/HBET:10,20",CR_LDUAL-DUM_H12,1
"CR+CIP/LFINF+CDH/HBET:5,6",CR_LDUAL-DUH_H6,1
"CR+CIP/LFINF+CDL/HBET:10,20",CR_LDUAL-DUL_H12,1
"CR+CIP/LFINF+CDL/HBET:5,6",CR_LDUAL-DUL_H6,1
S/LFM+CDL/HEX:1,S_LFM-DUL_H1,1
S/LFM+CDM/HEX:4,S_LFM-DUM_H4,1
"CR+CIP/LWAL+CDH/HBET:5,6",CR_LDUAL-DUH_H6,1
"MUR+ADO/LWAL+CDN/HBET:5,6",CR_LDUAL-DUL_H6,1
"MUR+ADO/LWAL+CDN/HBET:10,20",CR_LDUAL-DUL_H12,1
MR+CBH/LWAL+CDH/HEX:1,MR_LWAL-DUH_H2,1
"CR+CIP/LWAL+CDM/HBET:7,9",CR_LDUAL-DUM_H7,1
S/LFM+CDL/HEX:4,S_LFM-DUL_H4,1
CR+CIP/LWAL+CDL/HEX:3,CR_LWAL-DUL_H3,1
CR+CIP/LWAL+CDL/HEX:4,CR_LWAL-DUL_H4,1
S/LFM+CDH/HEX:4,S_LFM-DUH_H4,1
"CR+CIP/LWAL+CDL/HBET:7,9",CR_LDUAL-DUL_H7,1
